排名,名称,年份,发行商,北美销量(百万),欧洲销量(百万),日本销量(百万),其他地区销量(百万),全球销量(百万),类型,平台
92,Super Mario Galaxy 2,2010,Nintendo,3.66,2.42,0.98,0.64,7.69,平台跳跃,任天堂Wii
93,Star Wars Battlefront (2015),2015,Electronic Arts,2.93,3.29,0.22,1.23,7.67,射击,PlayStation 4
94,Call of Duty: Advanced Warfare,2014,Activision,2.8,3.3,0.14,1.37,7.6,射击,PlayStation 4
95,The Legend of Zelda: Ocarina of Time,1998,Nintendo,4.1,1.89,1.45,0.16,7.6,动作,任天堂64
96,Crash Bandicoot 2: Cortex Strikes Back,1997,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,平台跳跃,PlayStation
97,Super Mario Bros. 2,1988,Nintendo,5.39,1.18,0.7,0.19,7.46,平台跳跃,任天堂红白机
98,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,3.24,1.35,2.42,0.43,7.45,格斗,任天堂3DS
99,Call of Duty: World at War,2008,Activision,4.79,1.9,0,0.69,7.37,射击,Xbox 360
100,Battlefield 3,2011,Electronic Arts,4.46,2.13,0.06,0.69,7.34,射击,Xbox 360
101,The Legend of Zelda: Twilight Princess,2006,Nintendo,3.83,2.19,0.6,0.7,7.31,动作,任天堂Wii
102,Call of Duty: Black Ops 3,2015,Activision,4.52,2.09,0.01,0.67,7.3,射击,Xbox One
103,Just Dance,2009,Ubisoft,3.51,3.03,0,0.73,7.27,杂项,任天堂Wii
104,Battlefield 3,2011,Electronic Arts,2.85,2.93,0.35,1.1,7.23,射击,PlayStation 3
105,Need for Speed Underground,2003,Electronic Arts,3.27,2.83,0.08,1.02,7.2,竞速,PlayStation 2
106,Tekken 3,1998,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,格斗,PlayStation
107,Crash Bandicoot 3: Warped,1998,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,平台跳跃,PlayStation
108,Super Smash Bros. Melee,2001,Nintendo,4.41,1.04,1.39,0.22,7.07,格斗,任天堂GameCube
109,Mario Kart 8,2014,Nintendo,3.13,2.07,1.27,0.49,6.96,竞速,任天堂Wii U
110,Fallout 4,2015,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,角色扮演,PlayStation 4
111,Mario Kart: Double Dash!!,2003,Nintendo,4.12,1.77,0.87,0.19,6.95,竞速,任天堂GameCube
112,Just Dance 4,2012,Ubisoft,4.14,2.21,0,0.56,6.91,杂项,任天堂Wii
113,FIFA 14,2013,Electronic Arts,0.78,4.32,0.07,1.73,6.9,体育,PlayStation 3
114,Need for Speed Underground 2,2004,Electronic Arts,2.71,3.02,0.08,1.09,6.9,竞速,PlayStation 2
115,Medal of Honor: Frontline,2002,Electronic Arts,2.93,2.75,0.17,0.99,6.83,射击,PlayStation 2
116,Uncharted 3: Drake's Deception,2011,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,动作,PlayStation 3
117,Crash Bandicoot,1996,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,平台跳跃,PlayStation
118,Zumba Fitness,2010,505 Games,3.5,2.64,0,0.67,6.81,体育,任天堂Wii
119,Gears of War 2,2008,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,射击,Xbox 360
120,Uncharted 2: Among Thieves,2009,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,动作,PlayStation 3
121,Call of Duty 4: Modern Warfare,2007,Activision,3.1,2.3,0.28,1.04,6.72,射击,PlayStation 3
122,FIFA 12,2011,Electronic Arts,0.84,4.32,0.11,1.42,6.69,体育,PlayStation 3
123,Big Brain Academy,2005,Nintendo,1.67,2.78,1.6,0.62,6.67,杂项,任天堂DS
124,Red Dead Redemption,2010,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,动作,PlayStation 3
125,FIFA 15,2014,Electronic Arts,0.79,4.29,0.05,1.47,6.59,体育,PlayStation 4
126,Donkey Kong Country Returns,2010,Nintendo,3.25,1.84,1.03,0.47,6.59,平台跳跃,任天堂Wii
127,The Elder Scrolls V: Skyrim,2011,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,角色扮演,PlayStation 3
128,The Legend of Zelda,1986,Nintendo,3.74,0.93,1.69,0.14,6.51,动作,任天堂红白机
129,Assassin's Creed III,2012,Ubisoft,2.64,2.56,0.16,1.14,6.5,动作,PlayStation 3
130,Halo: Combat Evolved,2001,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,射击,Xbox
131,Pokémon Emerald Version,2004,Nintendo,2.57,1.58,2.06,0.21,6.41,角色扮演,任天堂Game Boy Advance
132,Kingdom Hearts,2002,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,角色扮演,PlayStation 2
133,Pokémon Crystal Version,2000,Nintendo,2.55,1.56,1.29,0.99,6.39,角色扮演,任天堂Game Boy
134,Halo 3: ODST,2009,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,射击,Xbox 360
135,Red Dead Redemption,2010,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,动作,Xbox 360
136,Super Mario Sunshine,2002,Nintendo,4.01,1.26,0.87,0.17,6.31,平台跳跃,任天堂GameCube
137,Street Fighter II: The World Warrior,1992,Capcom,2.47,0.83,2.87,0.12,6.3,格斗,超级任天堂
138,World of Warcraft,2004,Activision,0.07,6.21,0,0,6.28,角色扮演,个人电脑
139,Driver,1999,GT Interactive,3.11,2.8,0.02,0.33,6.27,动作,PlayStation
140,Kinect Sports,2010,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,体育,Xbox 360
141,Gears of War 3,2011,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,射击,Xbox 360
142,Gears of War,2006,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,射击,Xbox 360
143,Metal Gear Solid 2: Sons of Liberty,2001,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,动作,PlayStation 2
144,Sonic the Hedgehog 2,1992,Sega,4.47,1.2,0.16,0.19,6.03,平台跳跃,世嘉Genesis
145,Metal Gear Solid 4: Guns of the Patriots,2008,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,动作,PlayStation 3
146,Metal Gear Solid,1998,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,动作,PlayStation
147,The Last of Us,2013,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,动作,PlayStation 3
148,Final Fantasy XII,2006,Square Enix,1.88,0,2.33,1.74,5.95,角色扮演,PlayStation 2
149,LittleBigPlanet,2008,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,平台跳跃,PlayStation 3
150,Dragon Quest IX: Sentinels of the Starry Skies,2009,Nintendo,0.66,0.69,4.35,0.15,5.84,角色扮演,任天堂DS
151,LEGO Star Wars: The Complete Saga,2007,LucasArts,3.66,1.63,0,0.53,5.83,动作,任天堂Wii
152,Resident Evil 2,1998,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,动作,PlayStation
153,Tekken 2,1996,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,格斗,PlayStation
154,Cooking Mama,2006,505 Games,3.13,1.94,0.07,0.58,5.72,模拟,任天堂DS
155,Destiny,2014,Activision,2.49,2.05,0.16,0.96,5.65,射击,PlayStation 4
156,Tetris,1988,Nintendo,2.97,0.69,1.81,0.11,5.58,益智,任天堂红白机
157,Assassin's Creed II,2009,Ubisoft,2.54,1.95,0.21,0.87,5.57,动作,PlayStation 3
158,Super Smash Bros.,1999,Nintendo,2.95,0.6,1.97,0.04,5.55,格斗,任天堂64
159,Assassin's Creed,2007,Ubisoft,3.28,1.65,0.07,0.55,5.55,冒险,Xbox 360
160,Batman: Arkham City,2011,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,动作,PlayStation 3
161,Forza Motorsport 3,2009,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,竞速,Xbox 360
162,Monster Hunter Freedom Unite,2008,Capcom,0.47,0.57,4.13,0.34,5.5,角色扮演,PlayStation Portable
163,Super Mario Advance,2001,Nintendo,3.14,1.24,0.91,0.2,5.49,平台跳跃,任天堂Game Boy Advance
164,Mario Kart: Super Circuit,2001,Nintendo,2.62,1.64,0.99,0.23,5.47,竞速,任天堂Game Boy Advance
165,Super Mario World,2001,Nintendo,3.21,1.11,0.95,0.2,5.46,平台跳跃,任天堂Game Boy Advance
166,Pokemon Stadium,1999,Nintendo,3.18,1.24,0.94,0.09,5.45,策略,任天堂64
167,Call of Duty: World at War,2008,Activision,2.72,1.87,0,0.84,5.43,射击,PlayStation 3
168,Crash Bandicoot: The Wrath of Cortex,2001,Universal Interactive,2.07,2.29,0.24,0.82,5.42,平台跳跃,PlayStation 2
169,Minecraft,2014,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42,杂项,PlayStation 3
170,Final Fantasy XIII,2009,Square Enix,1.74,1.24,1.87,0.52,5.36,角色扮演,PlayStation 3
171,Dr. Mario,1989,Nintendo,2.18,0.96,2,0.2,5.34,益智,任天堂Game Boy
172,Pokemon Pinball,1999,Nintendo,3.02,1.12,1.01,0.16,5.31,杂项,任天堂Game Boy
173,Assassin's Creed III,2012,Ubisoft,3.13,1.71,0.03,0.44,5.3,动作,Xbox 360
174,Final Fantasy IX,2000,SquareSoft,1.62,0.77,2.78,0.14,5.3,角色扮演,PlayStation
175,Final Fantasy X-2,2003,Electronic Arts,1.92,1.08,2.11,0.17,5.29,角色扮演,PlayStation 2
176,Donkey Kong 64,1999,Nintendo,3.33,0.79,1.09,0.06,5.27,平台跳跃,任天堂64
177,Assassin's Creed II,2009,Ubisoft,3.1,1.56,0.08,0.51,5.27,动作,Xbox 360
178,Professor Layton and the Curious Village,2007,Nintendo,1.22,2.48,1.03,0.52,5.26,益智,任天堂DS
179,Tomb Raider II,1997,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,动作,PlayStation
180,Madden NFL 2004,,Electronic Arts,4.26,0.26,0.01,0.71,5.23,体育,PlayStation 2
181,Dragon Quest VIII: Journey of the Cursed King,2004,Square Enix,0.65,0.75,3.61,0.2,5.21,角色扮演,PlayStation 2
182,Diablo III,2012,Activision,2.43,2.15,0,0.62,5.2,角色扮演,个人电脑
183,Super Mario Bros. 3,2003,Nintendo,2.93,1.25,0.83,0.2,5.2,平台跳跃,任天堂Game Boy Advance
184,New Super Mario Bros. U,2012,Nintendo,2.32,1.3,1.27,0.31,5.19,平台跳跃,任天堂Wii U
185,Super Mario Land 3: Wario Land,1994,Nintendo,2.49,0.98,1.57,0.15,5.19,平台跳跃,任天堂Game Boy
186,FIFA Soccer 13,2012,Electronic Arts,1.08,3.48,0.03,0.58,5.18,动作,Xbox 360
187,The Legend of Zelda: Phantom Hourglass,2007,Nintendo,1.9,1.83,0.95,0.49,5.17,动作,任天堂DS
188,Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,2.1,0.74,2.2,0.11,5.15,平台跳跃,超级任天堂
189,Tomodachi Life,2013,Nintendo,0.96,2.02,1.89,0.28,5.15,模拟,任天堂3DS
190,Mario & Sonic at the Olympic Games,2008,Sega,1.64,2.48,0.44,0.58,5.14,体育,任天堂DS
191,Medal of Honor: Rising Sun,2003,Electronic Arts,1.98,2.23,0.13,0.8,5.13,射击,PlayStation 2
192,Kirby's Dream Land,1992,Nintendo,2.71,0.61,1.7,0.11,5.13,平台跳跃,任天堂Game Boy
193,Fable III,2010,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,角色扮演,Xbox 360
194,Call of Duty: Advanced Warfare,2014,Activision,3.21,1.53,0.01,0.38,5.13,射击,Xbox One
195,Microsoft Flight Simulator,1996,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,模拟,个人电脑
196,Guitar Hero II,2006,RedOctane,3.81,0.63,0,0.68,5.12,杂项,PlayStation 2
197,Resident Evil 5,2009,Capcom,1.96,1.43,1.08,0.65,5.11,动作,PlayStation 3
198,Grand Theft Auto V,2014,Take-Two Interactive,2.66,2.01,0,0.41,5.08,动作,Xbox One
199,Grand Theft Auto: Vice City Stories,2006,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,动作,PlayStation Portable
200,FIFA Soccer 11,2010,Electronic Arts,0.6,3.29,0.06,1.13,5.08,体育,PlayStation 3
201,Super Mario Bros.,1999,Nintendo,3.4,1.3,0.15,0.22,5.07,平台跳跃,任天堂Game Boy
202,Resident Evil,1996,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,动作,PlayStation
203,Tony Hawk's Pro Skater,1999,Activision,3.42,1.38,0.02,0.2,5.02,体育,PlayStation
204,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,2.59,1.06,0.8,0.57,5.02,格斗,任天堂Wii U
205,Warzone 2100,1999,Eidos Interactive,2.79,1.89,0,0.33,5.01,策略,PlayStation
206,Spyro the Dragon,1998,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,平台跳跃,PlayStation
207,Link's Crossbow Training,2007,Nintendo,3.06,1.18,0.29,0.46,5,射击,任天堂Wii
208,Guitar Hero III: Legends of Rock,2007,Activision,3.49,0.01,0.01,1.48,4.98,杂项,PlayStation 2
209,Fallout 3,2008,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,角色扮演,Xbox 360
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Nintendo,1.85,1.2,1.54,0.37,4.96,角色扮演,任天堂DS
211,Uncharted: Drake's Fortune,2007,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,动作,PlayStation 3
212,Madden NFL 06,2005,Electronic Arts,3.98,0.26,0.01,0.66,4.91,体育,PlayStation 2
213,LEGO Star Wars: The Complete Saga,2007,LucasArts,2.89,1.54,0,0.46,4.9,动作,任天堂DS
214,Diddy Kong Racing,1997,Nintendo,2.91,0.99,0.89,0.1,4.88,竞速,任天堂64
215,Monster Hunter Freedom 3,2010,Capcom,0,0,4.87,0,4.87,角色扮演,PlayStation Portable
216,Dr. Mario,1990,Nintendo,2.62,0.6,1.52,0.1,4.85,益智,任天堂红白机
217,God of War III,2010,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,动作,PlayStation 3
218,StarCraft II: Wings of Liberty,2010,Activision,2.56,1.68,0,0.59,4.83,策略,个人电脑
219,Assassin's Creed,2007,Ubisoft,1.91,2,0.09,0.83,4.83,冒险,PlayStation 3
220,FIFA 15,2014,Electronic Arts,0.57,3.14,0.04,1.07,4.82,体育,PlayStation 3
221,Crash Team Racing,1999,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,竞速,PlayStation
222,FIFA 17,2016,Electronic Arts,0.28,3.75,0.06,0.69,4.77,体育,PlayStation 4
223,Batman: Arkham City,2011,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,动作,Xbox 360
224,Driver 2,2000,Atari,2.36,2.1,0.02,0.25,4.73,动作,PlayStation
225,The Simpsons: Hit & Run,2003,Vivendi Games,1.73,2.19,0,0.79,4.7,竞速,PlayStation 2
226,Tony Hawk's Pro Skater 2,2000,Activision,3.05,1.41,0.02,0.2,4.68,体育,PlayStation
227,Animal Crossing: City Folk,2008,Nintendo,1.87,1.12,1.32,0.37,4.68,模拟,任天堂Wii
228,The Lord of the Rings: The Two Towers,2002,Electronic Arts,1.94,1.95,0.08,0.7,4.67,动作,PlayStation 2
229,Forza Motorsport 4,2011,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,竞速,Xbox 360
230,Tomb Raider,1996,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,动作,PlayStation
231,Guitar Hero III: Legends of Rock,2007,Activision,3.06,1.12,0,0.44,4.62,杂项,任天堂Wii
232,The Legend of Zelda: A Link to the Past,1991,Nintendo,2.42,0.91,1.15,0.13,4.61,动作,超级任天堂
233,The Legend of Zelda: The Wind Waker,2002,Nintendo,2.6,0.99,0.89,0.13,4.6,动作,任天堂GameCube
234,Mario & Sonic at the Olympic Winter Games,2009,Sega,1.89,1.99,0.22,0.48,4.58,体育,任天堂Wii
235,Luigi's Mansion: Dark Moon,2013,Nintendo,1.78,1.39,1.1,0.3,4.58,动作,任天堂3DS
236,Splatoon,2015,Nintendo,1.55,1.15,1.44,0.43,4.57,射击,任天堂Wii U
237,The Last of Us,2014,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55,动作,PlayStation 4
238,Guitar Hero III: Legends of Rock,2007,Activision,3.19,0.92,0.01,0.42,4.53,杂项,Xbox 360
239,Madden NFL 2005,2004,Electronic Arts,4.18,0.26,0.01,0.08,4.53,体育,PlayStation 2
240,Pitfall!,1981,Activision,4.21,0.24,0,0.05,4.5,平台跳跃,Atari 2600
241,Madden NFL 07,2006,Electronic Arts,3.63,0.24,0.01,0.61,4.49,体育,PlayStation 2
242,Spider-Man: The Movie,2002,Activision,2.71,1.51,0.03,0.23,4.48,动作,PlayStation 2
243,Dragon Quest VII: Warriors of Eden,2000,Enix Corporation,0.2,0.14,4.1,0.02,4.47,角色扮演,PlayStation
244,Uncharted: The Nathan Drake Collection,2015,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,动作,PlayStation 4
245,Call of Duty: Advanced Warfare,2014,Activision,1.54,1.94,0.19,0.77,4.45,射击,PlayStation 3
246,God of War,2005,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,动作,PlayStation 2
247,Nintendo Land,2012,Nintendo,2.55,1.11,0.46,0.33,4.44,杂项,任天堂Wii U
